id,lang,presentation,structure,structure_autre,issue,issue_autre,duree,role,role_autre,nb_acteurs_differents,comprehension_sig_acteurs,repartition_roles,repartition_roles_autre,copil,alea_reprise,alea_detail,alea_reprise_autre,specificite_sig,conseil,techno_nb,techno,techno_note,docs_presence,docs_nb_formats,docs_formats,docs_note,methode_nb,methode_proj,methode_autre,methode_note,outil_proj_nb,outil_proj,outil_proj_autre,outil_proj_note,influence_nb,influence,influence_orga_com,influence_humaine_com,influence_budget_com,influence_technique_com,influence_politique_com,influence_autre_com
458,fr,Carto de zones de mouillages et d'équipements légers en Bretagne,"Privé (entreprise, bureau d’études)",,Succès,,6 mois à 1 an,Géomaticien·ne / technicien·ne SIG interne,,Plus de 5,3,"Plusieurs personnes impliquées au début, puis une seule personne maintenait le projet",,Je ne sais pas,"Non concerné (même équipe, projet actif)",,,,Communiquer l'évolution du projet à l'ensemble des parties prenantes,1,libre,8,"Non, ou documentation informelle",2,"qgz, docx",5,0,nsp,,4,1,excel,,4,1,humaine,,Communication peu efficace (chaînes de mails...),,,,
464,fr,Cartographie du réseau RATP ,"Privé (entreprise, bureau d’études)",,Succès,,1 à 6 mois,Géomaticien·ne / technicien·ne SIG interne,,4 – 5,2,Une personne clé portait le projet,,Oui,"Non concerné (même équipe, projet actif)",,,"La compréhension de ce quoi une donnée géographie et les outils spécifiques qui vont avec. Les gens pensent souvent que c'est juste une donné comme une autre, et ne se rendent pas compte des subtilités ",Expliquer aux personnes non métier de façon plus compréhensible ,3,"code, proprio, standards",5,"Non, ou documentation informelle",3,"catalog, docx, mails",5,2,"scrum, waterfall",,5,0,rien,,1,3,"Orga, budget, technique",,,,,,
467,fr,Carto web pour le territoire de la Collectivité de Saint-Martin,"Public territorial (collectivité, EPCI, département, région)",,Succès,,6 mois à 1 an,Géomaticien·ne / technicien·ne SIG interne,,4 – 5,2,Plusieurs personnes impliquées durablement,,Oui,"Non concerné (même équipe, projet actif)",le pilote du projet est un excellent coordinateur,,informations spatialisées et croisements de données en synergie,importance de la coordination entre les acteurs impliqués,2,"libre, proprio",5,"Oui, structurée et à jour",2,"docx, tuto",5,0,rien,,5,0,rien,,5,2,"Orga, humaine",,,,,,
468,fr,Cartographie à grande échelle ,"Privé (entreprise, bureau d’études)",,Autre,Lent à se developper ,3 à 5 ans,Géomaticien·ne / technicien·ne SIG interne,,2 – 3,3,Une personne clé portait le projet,,Non,Autre,"Renvoi d'une direction , problème de confiance",Changement de service,"La transversalité, peu importe le service et le besoin, il y a toujours un intérêt et c'est simple d'adaptation",Structurer bien votre équipe et répartissez vous bien les tâches,2,"libre, code",9,"Oui, structurée et à jour",1,docx,7,0,rien,,4,0,rien,,4,3,"Orga, humaine, politique",,,,,,
486,fr,Atlas de cartes pour l'aide à la définition des Zones d'Accélération des Energies Renouvelables (ZAER),"Public territorial (collectivité, EPCI, département, région)",,Succès,,1 à 3 ans,Géomaticien·ne / technicien·ne SIG interne,,2 – 3,3,Plusieurs personnes impliquées durablement,,Non,"Non concerné (même équipe, projet actif)",,,,,2,"libre, standards",10,"Non, ou documentation informelle",3,"qgz, docx, mails",6,0,rien,,5,0,rien,,5,2,"humaine, politique",,La bonne cohésion de l'équipe nous a permis de bien communiquer et d'avancer sur le projet,,,"Mise en place de la loi ZAN (ZAER), il a fallut agir très rapidement et sans consignes claires de l'Etat, donc la mise en place du projet a été compliquée",
490,fr,Géoréférencement des réseaux sensibles,"Public territorial (collectivité, EPCI, département, région)",,Succès,,Plus de 5 ans,Géomaticien·ne / technicien·ne SIG interne,,Plus de 5,1,"Plusieurs personnes impliquées au début, puis une seule personne maintenait le projet",,Oui,"Non concerné (même équipe, projet actif)",RAS,,"La dimension spatiale, patrimoniale et la technicité des opérations et matériels de relevés terrain",L'analyse des besoins et la Pédagogie sont indispensables,3,"libre, code, proprio",8,"Oui, structurée et à jour",6,"catalog, comments, qgz, docx, mails, tuto",8,2,"scrum, waterfall",,8,1,excel,,8,4,"Orga, humaine, politique, technique",,,,,,
493,fr,Observatoire des territoires (région Bretagne),"Public d’État (ministère, service déconcentré, agence nationale)",,"Échec (abandon, gel, oubli)",,1 à 6 mois,Chef·fe de projet / coordinateur·rice,,Plus de 5,4,Une personne clé portait le projet,,Oui,"Non, projet abandonné ou figé après aléas",Fin de contrat ,,La multiplicité des acteurs impliqués (services métiers / techniques),Points de suivi réguliers mais bien construits avec un timing précis pour chaque sujet (éviter les temps de discussion trop longs/hors sujets),1,libre,9,"Oui, structurée et à jour",4,"comments, qgz, docx, mails",6,0,rien,,5,1,excel,,5,1,budget,,,Contrat non-renouvellé ,,,
518,fr,Impact du changement climatique sur la gestion de la viabilité hivernale ,"Public d’État (ministère, service déconcentré, agence nationale)",,Autre,transition des objectifs,6 mois à 1 an,Autre,stagiaire,2 – 3,4,"Plusieurs personnes impliquées au début, puis une seule personne maintenait le projet",,Non,Autre,fin du stage,reprise de quelques résultats et adaptation des axes,multidisciplinarité,gestion de projet correctement définie en amont!! ,2,"libre, code",7,"Oui, mais peu claire ou obsolète",5,"comments, qgz, docx, mails, tuto",4,0,rien,,2,0,rien,,2,3,"Orga, humaine, technique",trop grande autonomie,manque de compétences en développement ,,outil parfois non adapté (ex utilisation d'Excel pour + de 20M de lignes),,
525,fr,SIG/GMAO - Pilotage à distance d'actionneurs sur les armoires Eclairage public et GTC GTB (Gestion Technique Centralisé / Technique du Batiment),"Public territorial (collectivité, EPCI, département, région)",,"Échec (abandon, gel, oubli)",,6 mois à 1 an,Géomaticien·ne / technicien·ne SIG interne,,Plus de 5,1,Une personne clé portait le projet,,Oui,Autre,1 fournisseurs différents pour chaque Horloge/Thermostat connecté/Capteurs/Actionneurs,"Solution technique existantes, mais remontés dans Systeme SIG via API complexe, nécéssite des compétences en developpement WEB, et répéter les développements pour chaque marque/plateforme IOT. ",L'aspect très multi diciplinaire (Architecture Informatique + DevWeb + Gestion BDD + IOT),Joindre l'informaticien avec chaque projet pour les aspects SI / Favorisé les solutions ouvertes open source / Arrêté de vouloir tout centralisé sur le SIG sans raison (Stop aux hyperviseurs bullshit),2,"code, proprio",1,"Oui, mais peu claire ou obsolète",2,"comments, mails",5,0,nsp,,5,1,excel,,5,4,"Orga, humaine, politique, technique","Décideurs n'ont pas conscience de la réalité du travail d'un géomaticien. Et ne souhaite pas vraiment comprendre (manque de temps, dette technique >50ans etc)","COmpétence informatique des géomaticiens très basique, inadapté au developpement WEB",,"Logiciels propriétaire ""clé en main"" très fermé au final, connection générique vers SIG via API très complexe, notament la remonté d'information et l'envoi d'instruction (Ex: Allumé/Eteindre EP). Nécéssite souvent d'avoir 2 solution/logiciels en parallèle, une pour la remontée et un autre solution pour l'envoi","Projet avec élu, donc figé/abandonnée à la prochaine éléction si pas réelu.",
528,fr,Jumeaux numérique d'une commune,"Public territorial (collectivité, EPCI, département, région)",,"Échec (abandon, gel, oubli)",,1 à 3 ans,Géomaticien·ne / technicien·ne SIG interne,,1 seul,1,"Plusieurs personnes impliquées au début, puis une seule personne maintenait le projet",,Non,"Non, projet abandonné ou figé après aléas","Lenteur des serveurs, de l'équipement",,"beaucoup de données,  la hiérarchie sépare trop souvent les 2 alors qu'ils devraient être ensemble. ","Sur les jumeaux numériques, receuillir les besoins pour savoir si vraiement utile. Et tout mettre en cloud, bcp plus rapide.",1,proprio,1,"Oui, mais peu claire ou obsolète",1,mails,6,0,nsp,,5,1,excel,,4,3,"budget, politique, autre",,,Demande un jumeaux 3D mais le PC est en PLS pour ouvrir 3 dalles RASTER,,Juste un effet de mode sans réelle utilité,"Effet gadet du projet, projet très futile "
541,fr,Plate-forme SIGcom pour les communes du Luxembourg,"Privé (entreprise, bureau d’études)",,Succès,,Plus de 5 ans,Chef·fe de projet / coordinateur·rice,,Plus de 5,4,Autre,"Equipe de geomaticiens (developpeur, commerciaux, technicien)",Non,"Oui, reprise fluide",,,,,1,proprio,9,"Oui, structurée et à jour",7,"catalog, comments, qgz, docx, mails, tuto, wiki",8,1,autre,SX,5,2,"excel, jira",,9,3,"humaine, budget, technique",,,,,,
545,fr,Carto règlementaire : réalisation des annexes parcellaires d'un projet de classement au titre des sites,"Public territorial (collectivité, EPCI, département, région)",,Succès,,1 à 3 ans,Prestataire externe / consultant·e,,Plus de 5,3,,,,,,,,,3,"libre, code, standards",8,"Oui, mais peu claire ou obsolète",2,"docx, mails",5,0,rien,,9,1,excel,,9,0,,,,,,,
551,fr,Application web cartographique de remontée d'informations,"Public d’État (ministère, service déconcentré, agence nationale)",,Autre,En cours d'échec,1 à 6 mois,Géomaticien·ne / technicien·ne SIG interne,,2 – 3,1,Autre,Aucune personne désignée comme gestionnaire du projet,Non,"Non concerné (même équipe, projet actif)","Restructuration, manque de communication avec les utilisateurs (incompréhension du besoin), ajout d'un outil supplémentaire non désiré ",,"Le manque de compréhension du SIG. La MOA, dans la plupart des cas, ne connait pas le potentiel des SIG et/ou ne comprend pas ses limites. ",La compréhension du besoin utilisateur et de son accompagnement est des facteur primordiale. ,2,"code, proprio",8,"Non, ou documentation informelle",0,rien,2,0,nsp,,2,0,rien,,2,3,"Orga, humaine, politique",,,,,,
568,fr,Production mutualisée de données d'occupation du sol.,"Privé (entreprise, bureau d’études)",,Succès,,3 à 5 ans,Chef·fe de projet / coordinateur·rice,,Plus de 5,3,Plusieurs personnes impliquées durablement,,Oui,"Non concerné (même équipe, projet actif)",,,Les utilisateurs finaux doivent s'approprier un minimum certains aspects techniques et participer à la production (contrôle qualité et corrections),Il faut une personne dédiée à l'animation/gestion avec le temps necessaire.,2,"libre, code",5,"Oui, structurée et à jour",3,"qgz, docx, mails",5,1,autre,"Fonce, vas-y, oubli que t'a aucune chance.",5,1,autre,1 personne dédiée,4,3,"Orga, humaine, politique",Une personne dédiées au suivi et animation,Une équipe projet motivée et solidaire,,,Obligation règlementaire ayant servi de levier,
570,fr,Déploiement d'un SIG dans une structure de.mutualisation auprès de ses adhérents collectivité ,"Public territorial (collectivité, EPCI, département, région)",,Succès,,1 à 3 ans,Prestataire externe / consultant·e,,4 – 5,4,Plusieurs personnes impliquées durablement,,Oui,"Non concerné (même équipe, projet actif)","Le projet ne partait pas de 0 mais d'un existant avec une mécanique de migration. L'avantage est que les parties prenantes sont bien accultures aux enjeux et méthodes, l'inconve.ient c'est qu'il est toujours difficile de se détacher de l'existant pour certains acteurs et de se projeter vers un changement, quand bien même il amène des aspects ""mieux"" à terme",,Elle ont une.dimension grand public inhérente car ça parle à tour le monde et à tous les niveau techniques d'acteurs. Donc on ne peut pas rester en tour d'Ivoire de spécialistes. Les utilisateurs finaud sont.de bas niveau technique et c'est tout de meme.possible de.les.embarquer sur ce type de projzt,"La volonté politique et/ou l'expertise technique ne font pas tout. La tenu d'un.projet dans le temps nécessite des compétences en gestion de projet à proprement parler qui sont essentielle, parfois plus que les détails techniques",3,"libre, proprio, standards",7,"Oui, mais peu claire ou obsolète",2,"docx, mails",7,2,"scrum, waterfall",,9,3,"excel, monday, autre",Redmine,4,5,"Orga, humaine, budget, politique, technique",Un pilotage éclairé côté structure cliente est primordial. Éclairé au sens technique mais aussi organisationnel et sur les jeux d'acteurs,"Le chef de projet collectivité a de réelles compétences humaines, et j'ai pu bâtir une relation de confiance grâce à ces aspect la notamment","Le budget était la et permet après plus de un an de démarrage, de rentrer dans des processus d'amelioration continue. Il n'est pas possible de faire le tour du sujet avant d'avoir ""le nez dedans"" au cours du projet",Le choix de 2 logiciels complémentaires avec deux éditeurs reelement partenaire crée un écosystème vertueux,"Des échéances politique fermr.mais raisonnables permet de impulser un tempo cohérent avec la montée en charge du projet, notamment viser la phase de formation aux utilisateurs sur plusieurs moi",
574,fr,Fusion des SIG vélo des Départements 67 et 68 dans le cadre de la création de la Collectivité européenne d'Alsace,"Public territorial (collectivité, EPCI, département, région)",,Autre,En cours,3 à 5 ans,Chef·fe de projet / coordinateur·rice,,4 – 5,2,Plusieurs personnes impliquées durablement,,Non,"Oui, reprise fluide","Projet initié pour répondre à un besoin interne, mais géré de manière artisanale par des personnes impliquées personnellement, le pôle géomatique étant mobilisé sur d'autres priorités. Il a été fait appel à des stagiaires qui ont permis de faire avancer les choses, car travaillant à 100% sur le sujet. Maintenant le pôle géomatique reprend le projet, ce qui permettra d'aboutir à l'objectif final.",,"Beaucoup de personnes, par exemple issues de formations en géographie et aménagement du territoire, savent utiliser les SIG et peuvent lancer des projets SIG. Mais pour mener un gros projet à terme, il faut souvent plus de compétences (développement) que ces personnes n'ont pas toujours. Il y a donc un risque que des projets n'aboutissent pas, ou alors qu'ils restent à un niveau artisanal. C'est le cas de mon projet, mais il est en train d'être repris par le pôle géomatique, ce qui permettra d'aboutir à un meilleur résultat, utilisable par tous les agents, et plus seulement par une poignée d'initiés.",,3,"libre, code, proprio",5,"Non, ou documentation informelle",3,"docx, mails, tuto",4,0,rien,,2,0,rien,,5,3,"Orga, humaine, politique","Projet pas géré en mode projet (copil, cotech, date de rendu et planning...) mais au fil de l'eau, selon le temps disponible.",Perte de temps liée au fait que le projet n'a pas été porté par le pôle géomatique au début.,,,Projet initié en raison de la création de la Collectivité européenne d'Alsace. Il fallait fusionner les deux SIG.,
577,fr,Portail web géographique de gestion d’un patrimoine immobilier ,"Public d’État (ministère, service déconcentré, agence nationale)",,Succès,,Plus de 5 ans,Autre,Cheffe de projet responsable fonctionelle ,4 – 5,2,Plusieurs personnes impliquées durablement,,Oui,"Non concerné (même équipe, projet actif)",Changement d’industriel ,,Technicité projet et data,L’organisation et de la communication ,2,"libre, proprio",7,"Oui, structurée et à jour",7,"catalog, comments, qgz, docx, mails, tuto, wiki",6,3,"kamban, scrum, waterfall",,7,1,jira,,7,5,"Orga, humaine, budget, politique, technique",Le chef de projet ,Un bon responsable fonctionelle ,Un budget réalité ,Pas trop de dette technique ,Loi de programmation militaire ,
584,fr,Référencement linéaire de données linéaires et ponctuelles.,Autre,Société anonyme à capitaux publics,Échec puis relance,,Plus de 5 ans,Prestataire externe / consultant·e,,4 – 5,4,Autre,Les porteurs du projet avec un pouvoir de décision ont régulièrement changés et donc les orientations stratégiques aussi. Les porteurs techniques présents au début ont peu à peu transmis leur connaissance mais il y avait malgré tout des pertes de connaissances.,Oui,Autre,"Départs d’agents mais également et surtout des stratégies court-terme qui s’opposaient les unes des autres. Le projet étant porté sur le long terme, l’investissement massif et historique était l’argument qui bloquait un nouveau départ ou une refonte.",Mon équipe a été missionné pour proposer une solution tierce pour venant concurrencer le projet en souffrance. ,Aucune. Un projet en géomatique se gère exactement de la même manière qu’un projet informatique classique. Les spécificités techniques sont l’affaires des techniciens ou développeurs qui ont la compétence technique.,Bien recenser le besoin et calibrer techniquement les attentes.,2,"code, proprio",4,"Oui, mais peu claire ou obsolète",3,"comments, docx, mails",5,1,autre,Gestion qui se disait agile mais ne l’était pas.,3,3,"excel, jira, git",,5,4,"Orga, humaine, budget, technique","Les savoirs techniques se sont transmis d’équipes à équipes, prestataires à prestataires sans contrôle ou validation des connaissances ce qui faisait perdre énormément de temps (re-explications des sujets a chaque changement). ",Les internes entre les différents services ne s’entendaient pas forcément et se mettaient des bâtons dans les roues.,Les ressources investis sur le long terme étaient le premier argument pour ne pas produire s’orienter vers une refonte. ,La solution initiale était prévu pour une initialisation des données et non pas une mise à jour.,,
589,fr,Cartographie de l'évolution des incidents survenus sur le territoire des Concessions.,"Public territorial (collectivité, EPCI, département, région)",,"Échec (abandon, gel, oubli)",,1 à 6 mois,Géomaticien·ne / technicien·ne SIG interne,,2 – 3,1,Je ne sais pas,,Non,Autre,Projet non prioritaire.,Toujours considérer comme non prioritaire mais intéressant.,Les rendus cartographiques sont plus parlants que les rendus des projets informatiques classiques.,Une bonne organisation et gestion du projet.,1,libre,5,"Oui, mais peu claire ou obsolète",3,"qgz, docx, tuto",5,0,rien,,5,0,rien,,5,3,"Orga, humaine, politique",,,,,,
593,fr,Cartes pour une publication éditoriale officielle (les cahier de l’observatoire des territoires),"Public d’État (ministère, service déconcentré, agence nationale)",,Succès,,1 à 6 mois,Géomaticien·ne / technicien·ne SIG interne,,Plus de 5,3,Plusieurs personnes impliquées durablement,,Je ne sais pas,"Non concerné (même équipe, projet actif)",,,Il faut souvent faire un lien entre un texte et la carte. C’est quelque chose de pas souvent simple quand on est face a des non géomaticien. C’est la que notre rôle de conseil est important. Il faut aussi réussir à trouver les outils de gestion de projet qui permettent à tout le monde de s’en sortir et de comprendre son rôle. ,,2,"libre, code",10,"Oui, structurée et à jour",3,"comments, qgz, docx",5,1,autre,Organisation interne sur Grist (même principe que Google sheet mais + performant). Remplissage ligne par ligne des infos sur chaque illustration à produire. Automatisation sur R à partir de ce tableau ensuite. ,10,2,"excel, autre",Grist,10,3,"Orga, humaine, technique",,,,,,
599,fr,Definition et cartographie de l'armature territoriale de Rouen,"Public territorial (collectivité, EPCI, département, région)",,Succès,,6 mois à 1 an,Chef·fe de projet / coordinateur·rice,,2 – 3,3,Plusieurs personnes impliquées durablement,,Oui,"Non concerné (même équipe, projet actif)",,,,,1,libre,5,"Oui, structurée et à jour",3,"qgz, docx, mails",6,0,rien,,7,1,trello,,8,2,"humaine, technique",,"Equipe bienveillante, délais tenus",,Logiciels libres et connus de tous ,,
602,fr,Créer une données d'occupation du sol à partir d'image aérienne anciennes (Annees 1970),"Parapublic (syndicat mixte, EPIC…)",,Succès,,1 à 3 ans,Chef·fe de projet / coordinateur·rice,,2 – 3,3,"Plusieurs personnes impliquées au début, puis une seule personne maintenait le projet",,Oui,"Non concerné (même équipe, projet actif)",Doctorant impliqué et une direction de thèse de proximité,,"La maintenance des données et des architectures informatiques est primordibale, il faut associer du personne dédié et un matériel adequat","Fixer des objectifs clairs à des échéances a court , mloyen et long terme",3,"libre, code, standards",5,"Oui, mais peu claire ou obsolète",3,"comments, docx, mails",5,1,autre,Thése,5,0,rien,,5,2,"Orga, humaine",,,,,,
621,fr,Webapp collaborative pour plusieurs départements de mon entreprise,"Privé (entreprise, bureau d’études)",,Succès,,1 à 3 ans,Géomaticien·ne / technicien·ne SIG interne,,Plus de 5,2,Plusieurs personnes impliquées durablement,,Oui,"Non concerné (même équipe, projet actif)",,,,Communiquez bien avec l'équipe metier,2,"code, proprio",4,"Oui, mais peu claire ou obsolète",4,"comments, qgz, docx, tuto",4,2,"scrum, waterfall",,7,2,"excel, trello",,4,1,humaine,,,,,,
635,fr,Observatoire d’activités économique ,"Public territorial (collectivité, EPCI, département, région)",,Succès,,6 mois à 1 an,Chef·fe de projet / coordinateur·rice,,2 – 3,5,"Plusieurs personnes impliquées au début, puis une seule personne maintenait le projet",,Non,"Non concerné (même équipe, projet actif)",Arrivée d’une ressource technique ,,La transversalité ,,3,"libre, code, proprio",10,"Oui, structurée et à jour",5,"comments, qgz, docx, mails, tuto",8,2,"scrum, waterfall",,10,2,"trello, git",,10,4,"Orga, humaine, politique, technique",,,,,,
637,fr,Centralisation de portails cartographiques de plusieurs entités exploitant 1 thématique commune,"Privé (entreprise, bureau d’études)",,Succès,,6 mois à 1 an,Prestataire externe / consultant·e,,4 – 5,4,Une personne clé portait le projet,,Oui,Autre,"Recadrage avec mise en place de cahier de livraisons et de recette pour les développements, instauration de personnes clés techniques côté client exploitant pour une meilleure compréhension avec les métiers utilisateurs. Restriction des vannes financières pour se concentrer sur des spéciale synthétiques répondants aux besoins essentiels de chaque entités (grosse coordination a dû être mis en place) ",Les participants aux tests étaient moins enthousiastes ,Le mode agile est complexe à maîtriser ,"Si le bateau commence à chavirer, prendre de la hauteur et un virage à 180° ça peut sauver le projet donc être résiliant et patient ",2,"proprio, standards",7,"Oui, mais peu claire ou obsolète",6,"catalog, comments, qgz, docx, mails, tuto",7,0,rien,,4,1,excel,,5,5,"Orga, humaine, budget, politique, technique",Placer les bonnes personnes avec les compétences aux bons endroits ,,Il faut un bon budget pour des projets avec solution propriétaire mais pas non plus illimité sinon on se perd dans du détail ce qui fait perdre du temps et la motivation des équipes,,Une personne en direction qui porte le projet et lève les fonds qui s’en va et une autre avec une toute autre ligne de conduite peu annuler un projet ,
655,fr,Carto web des données Lidar HD (IGN) pour les techniciens forestiers,"Public d’État (ministère, service déconcentré, agence nationale)",,Succès,,1 à 3 ans,Chef·fe de projet / coordinateur·rice,,2 – 3,4,Plusieurs personnes impliquées durablement,,Oui,Autre,Direction métier motiviée,Un POC avait été réalisé sur une emprise limitée avec des technos open source (hors cadrages informatiques/SIG),"Le service SIG doit disposer de compétences ""informatiques"" (notamment réseaux) pour améliorer les performances.","Formaliser la méthode de projet au début: COPIL, COTEC, revue de projet hebdomadaires, acteurs et rôles...",2,"code, proprio",8,"Oui, mais peu claire ou obsolète",4,"docx, mails, tuto, wiki",8,0,rien,,6,1,jira,,9,4,"Orga, humaine, budget, technique",COPIL annuel peu décisionnaire,RH internes peu managées,Peu de budgets,Serveur d'images à venir (tardivement),,
658,fr,Mise en place d'un cadastre solaire,"Parapublic (syndicat mixte, EPIC…)",,Succès,,6 mois à 1 an,Géomaticien·ne / technicien·ne SIG interne,,2 – 3,2,Une personne clé portait le projet,,Oui,"Non concerné (même équipe, projet actif)",,,,,1,proprio,10,"Non, ou documentation informelle",4,"catalog, docx, mails, tuto",5,0,nsp,,5,1,excel,,5,2,"humaine, technique",,,,,,
662,fr,Analyse de données BD communale / Régionale / EPCI,"Privé (entreprise, bureau d’études)",,Succès,,6 mois à 1 an,Décideur·se / élu·e / direction,,2 – 3,3,Une personne clé portait le projet,,Non,"Non concerné (même équipe, projet actif)",,,,,2,"libre, code",10,Je ne sais pas,2,"qgz, mails",5,1,kamban,,10,1,jira,,10,2,"humaine, technique",,,,,,
671,fr,Application pour le suivi des projets d'une direction sur l'habitat indigne ,"Parapublic (syndicat mixte, EPIC…)",,Autre,"en cours, pour l'instant c'est sur la bonne voie mais ça reste compliqué",1 à 6 mois,Géomaticien·ne / technicien·ne SIG interne,,2 – 3,3,Plusieurs personnes impliquées durablement,,Non,"Non concerné (même équipe, projet actif)",arrivée d'une alternante avec une bonne idée ,,travail nécessairement effectué avec des acteurs qui ne s'y connaissent pas ,être polyvalent intellectuellement et avoir un projet dessiné dès le début ,3,"libre, code, proprio",6,"Non, ou documentation informelle",1,mails,6,0,rien,,6,0,rien,,8,2,"humaine, technique",,,,,,
679,fr,Application SIG de gestion des réseaux,"Privé (entreprise, bureau d’études)",,Succès,,Plus de 5 ans,Autre,Développeur SIG,Plus de 5,4,Rôle tournant,,Oui,"Non concerné (même équipe, projet actif)",,,Le poids des outils propriétaires et les contraintes de la donnée spatiale,Privilégier l'Open Source ,3,"libre, proprio, standards",10,"Oui, structurée et à jour",6,"catalog, comments, docx, mails, tuto, wiki",10,2,"scrum, waterfall",,10,3,"excel, jira, git",,10,4,"Orga, humaine, budget, technique",L'amélioration continue a un impact sur les réorganisations,"Une excellente communication inter-equipes est nécessaire, rôle primordial de l'équipe DevOps pierre angulaire du projet",Meilleure conduite du budget,Priorité à l'efficience ,,
684,fr,web sig départemental,"Public territorial (collectivité, EPCI, département, région)",,Échec puis relance,,Plus de 5 ans,Autre,je n'étais pas au début du projet,4 – 5,2,"Plusieurs personnes impliquées au début, puis une seule personne maintenait le projet",,Oui,Autre,départ du projet vers une autre structure,avec une nouvelle équipe,,,3,"code, proprio, standards",8,"Oui, mais peu claire ou obsolète",2,"docx, mails",1,0,nsp,,1,1,autre,je ne sais pas,1,4,"Orga, humaine, budget, technique",mauvaise gouvernance,manque de compétence,pas de réinjection de financement dans le projet,pas d'évolution logicielle,,
687,fr,Déploiement d’ArcGIS Enterprise ,"Public territorial (collectivité, EPCI, département, région)",,Succès,,6 mois à 1 an,Chef·fe de projet / coordinateur·rice,,Plus de 5,2,Plusieurs personnes impliquées durablement,,Oui,"Non concerné (même équipe, projet actif)",aucun,,la diversité des compétences et la méconnaissance des technicitéq,disposer d’un cahier de charge clair par rapport aux besoins ,2,"libre, proprio",8,"Oui, structurée et à jour",4,"catalog, qgz, docx, mails",5,0,rien,,5,2,"excel, autre",openproject,5,1,Orga,,,,,,
691,fr,Développement territorial dans les énergies renouvelables ,"Privé (entreprise, bureau d’études)",,Autre,En cours,6 mois à 1 an,Géomaticien·ne / technicien·ne SIG interne,,4 – 5,4,Plusieurs personnes impliquées durablement,,Non,"Non concerné (même équipe, projet actif)",,,"L’impact visuel d’une carte, la rapidité et la flexibilité de l’utilisation d’un SIG permet une plus grande productivité et donc une efficacité de résultat. ","Maîtrise des coûts, des délais et gestion humaine de chaque intervenants pour avoir une plus grande efficacité et atteindre le résultat final ",2,"libre, standards",5,"Oui, structurée et à jour",3,"qgz, docx, mails",5,0,nsp,,5,1,excel,,5,2,"humaine, politique",,"Différentes expertises (urbanisme, commercial, SIG) mises en relation",,,Differents décrets mis en application qui ont changé notre méthodologie et notre approche,
694,fr,Cartographie des Zones d'Accélération des Energies Renouvelables (ZAEnR) communales à l'échelle d'une communauté de communes,"Public territorial (collectivité, EPCI, département, région)",,Succès,,1 à 6 mois,Chef·fe de projet / coordinateur·rice,,Plus de 5,3,Plusieurs personnes impliquées durablement,,Oui,"Non concerné (même équipe, projet actif)",pas d'évènement particulier,,"Le volet visuel est déterminant, c'est un accélérateur de prise de décision. Néanmoins, en gestion de projet, cela nécessite un travail en background important mais n'étant ni SIGiste ni informaticienne, je ne vois pas de spécificité particulière.",Toujours rester connecter au besoin utilisateur,1,libre,5,"Oui, structurée et à jour",2,"qgz, docx",6,1,autre,"Méthode propre à chaque projet- résultat attendus, séquençage du projet et des étapes, répartition fines du rôles des intervenants. Pilotage étroit du rétroplaning",8,1,excel,,6,3,"Orga, humaine, politique","Organisation de plusieurs ateliers de travail, participation importante des élus ",Travail avec des partenaires compétents pour organiser les ateliers sur le fonds du sujet et rôle d'interface du chef de projet pour traduction en cartes SIG,,,Les ZAEnR étaient obligatoires pour les communes mais elles n'étaient pas outillées ni pour les définir ni pour les formaliser ,
696,fr,Carto web temporelle qui montre l'évolution des essences forestières selon le climat futur,"Privé (entreprise, bureau d’études)",,"Échec (abandon, gel, oubli)",,Moins de 1 mois,Autre,Etudiant,1 seul,6,Une personne clé portait le projet,,Non,"Non, projet abandonné ou figé après aléas","Surcharge de travail, trop de projets simultanés : le projet avait besoin d'être mis à jour mais le temps manquait.",,"L'hétérogénéité des données mobilisées : formats, standards, projections, dimensions, périodes d'actualisations...","Comme pour les cartes, il faut faire un grand travail d'édition pour la gestion d'un projet SIG. Savoir cadrer les demandes, dire non, et être réaliste par rapport au temps et budgets sont essentiels.",4,"libre, code, proprio, standards",10,"Oui, mais peu claire ou obsolète",3,"comments, qgz, docx",3,0,rien,,1,0,rien,,1,1,Orga,Trop de projets simultanés et besoin de laisser ce projet de côté,,,,,
699,fr,Création projet SIG en eau potable  pour ComCom ,"Public territorial (collectivité, EPCI, département, région)",,Succès,,1 à 6 mois,Autre,À la fois géomaticienne et chef de projet ,2 – 3,4,Autre,Chaque personne a un rôle bien défini dans le projet 1 personne création et initialisation du projet 1 personne intégration des données 1 personne pour former l'acteur non géomaticien ,Non,"Non concerné (même équipe, projet actif)",,,,"Se faire accompagner, ne pas hésiter à poser des questions au client/service concerné par le projet ",4,"libre, code, proprio, standards",5,"Non, ou documentation informelle",3,"docx, mails, wiki",5,0,rien,,5,0,rien,,5,3,"Orga, humaine, technique",,1er projet,,", données sources non uniforme ce qui a retardé le projet ",,
719,fr,Inspection photos par drones d'infrastructures.,"Privé (entreprise, bureau d’études)",,Succès,,Plus de 5 ans,Géomaticien·ne / technicien·ne SIG interne,,2 – 3,4,Une personne clé portait le projet,,Oui,"Oui, reprise fluide",,,,,2,"code, proprio",8,"Oui, structurée et à jour",3,"comments, docx, tuto",8,0,nsp,,8,1,excel,,5,3,"Orga, humaine, technique",,,,,,
